,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
179,2024-01-08 11:00:00,0.11933095324497642,0.4724150442798796,0.8,1.0,0.9,1.0
180,2024-01-08 12:00:00,0.1736969332695326,0.46397999691057046,0.8,1.0,0.9,1.0
181,2024-01-08 13:00:00,0.20665400166463216,0.4682237163945086,0.8,1.0,0.9,1.0
182,2024-01-08 14:00:00,0.20338466047983825,0.45994584382090087,0.8,1.0,0.9,1.0
183,2024-01-08 15:00:00,0.17232591922429646,0.42285259203536746,0.8,1.0,0.9,1.0
184,2024-01-08 16:00:00,0.1101557054037807,0.38785500419251956,0.8,1.0,0.9,1.0
185,2024-01-08 17:00:00,0.04323967373437059,0.34740869009868935,0.8,1.0,0.9,1.0
186,2024-01-08 18:00:00,0.01434291616554732,0.33279143409845796,0.8,1.0,0.9,1.0
187,2024-01-08 19:00:00,0.0,0.33541101402681484,0.8,1.0,0.9,1.0
188,2024-01-08 20:00:00,0.0,0.32959554658586254,0.8,1.0,0.9,1.0
189,2024-01-08 21:00:00,0.0,0.31979831765380784,0.8,1.0,0.9,1.0
190,2024-01-08 22:00:00,0.0,0.31869809408389793,0.8,1.0,0.9,1.0
191,2024-01-08 23:00:00,0.0,0.29124489643471785,0.8,1.0,0.9,1.0
192,2024-01-09 00:00:00,0.0,0.2536801202620802,0.8,1.0,0.9,1.0
193,2024-01-09 01:00:00,0.0,0.2244456082616174,0.8,1.0,0.9,1.0
194,2024-01-09 02:00:00,0.0,0.21433402973815988,0.8,1.0,0.9,1.0
195,2024-01-09 03:00:00,0.0,0.22009710558054502,0.8,1.0,0.9,1.0
196,2024-01-09 04:00:00,0.0,0.23094216648394247,0.8,1.0,0.9,1.0
197,2024-01-09 05:00:00,0.0,0.23859133987474457,0.8,1.0,0.9,1.0
198,2024-01-09 06:00:00,0.0,0.23256630603952375,0.8,1.0,0.9,1.0
199,2024-01-09 07:00:00,0.0,0.2173203508564867,0.8,1.0,0.9,1.0
200,2024-01-09 08:00:00,0.013182827358039814,0.2184205744263966,0.8,1.0,0.9,1.0
201,2024-01-09 09:00:00,0.02009062889365268,0.21910166520776939,0.8,1.0,0.9,1.0
202,2024-01-09 10:00:00,0.06976352237874671,0.21297184817541429,0.8,1.0,0.9,1.0
203,2024-01-09 11:00:00,0.1710076364884925,0.20401288482043375,0.8,1.0,0.9,1.0
204,2024-01-09 12:00:00,0.2514228833725354,0.2137053305553542,0.8,1.0,0.9,1.0
205,2024-01-09 13:00:00,0.2849599961713886,0.21092857583129593,0.8,1.0,0.9,1.0
206,2024-01-09 14:00:00,0.2793177460621476,0.20563702437601503,0.8,1.0,0.9,1.0
207,2024-01-09 15:00:00,0.24024384577291757,0.20207439567344967,0.8,1.0,0.9,1.0
208,2024-01-09 16:00:00,0.1588267040096637,0.20244113686341964,0.8,1.0,0.9,1.0
209,2024-01-09 17:00:00,0.06385761572234487,0.17655968717125367,0.8,1.0,0.9,1.0
210,2024-01-09 18:00:00,0.017559526040909032,0.16042307481257528,0.8,1.0,0.9,1.0
211,2024-01-09 19:00:00,0.0,0.16278069674809648,0.8,1.0,0.9,1.0
212,2024-01-09 20:00:00,0.0,0.1635141791280364,0.8,1.0,0.9,1.0
213,2024-01-09 21:00:00,0.0,0.1594800260383668,0.8,1.0,0.9,1.0
214,2024-01-09 22:00:00,0.0,0.13999035137139162,0.8,1.0,0.9,1.0
215,2024-01-09 23:00:00,0.0,0.12254394904853481,0.8,1.0,0.9,1.0
216,2024-01-10 00:00:00,0.0,0.1148423840591656,0.8,1.0,0.9,1.0
217,2024-01-10 01:00:00,0.0,0.11012714018812321,0.8,1.0,0.9,1.0
218,2024-01-10 02:00:00,0.0,0.11368976889068856,0.8,1.0,0.9,1.0
219,2024-01-10 03:00:00,0.0,0.11389933528495712,0.8,1.0,0.9,1.0
220,2024-01-10 04:00:00,0.0,0.11452803446776276,0.8,1.0,0.9,1.0
221,2024-01-10 05:00:00,0.0,0.11845740436029809,0.8,1.0,0.9,1.0
222,2024-01-10 06:00:00,0.0,0.12521592057545883,0.8,1.0,0.9,1.0
223,2024-01-10 07:00:00,0.0,0.13055986362930685,0.8,1.0,0.9,1.0
224,2024-01-10 08:00:00,0.01581939282964778,0.12395852220984753,0.8,1.0,0.9,1.0
225,2024-01-10 09:00:00,0.020512479369109955,0.12065785150011786,0.8,1.0,0.9,1.0
226,2024-01-10 10:00:00,0.044505225160742415,0.11505195045343414,0.8,1.0,0.9,1.0
227,2024-01-10 11:00:00,0.05478783050001347,0.11447564286919563,0.8,1.0,0.9,1.0
228,2024-01-10 12:00:00,0.05478783050001347,0.11547108324197124,0.8,1.0,0.9,1.0
229,2024-01-10 13:00:00,0.14954599354960366,0.08796549399422401,0.8,1.0,0.9,1.0
230,2024-01-10 14:00:00,0.14680396545913138,0.08691766202288126,0.8,1.0,0.9,1.0
231,2024-01-10 15:00:00,0.11627253729791118,0.08833223518419397,0.8,1.0,0.9,1.0
232,2024-01-10 16:00:00,0.06997444761647534,0.09341422024520632,0.8,1.0,0.9,1.0
233,2024-01-10 17:00:00,0.03047869685178805,0.1067740778798264,0.8,1.0,0.9,1.0
234,2024-01-10 18:00:00,0.015344811044758344,0.12657810213820442,0.8,1.0,0.9,1.0
235,2024-01-10 19:00:00,0.0,0.14889692312780503,0.8,1.0,0.9,1.0
236,2024-01-10 20:00:00,0.0,0.1761929459812837,0.8,1.0,0.9,1.0
237,2024-01-10 21:00:00,0.0,0.19730676020384016,0.8,1.0,0.9,1.0
